Date,Trap Session,Site name,Site ID,Mosquitoes,VDLcode,PoolID,Positive,Latitude,Longitude
7/25/2017,1,Jayne's Well,BLM0117,7,USFWS-41,41,0,43.614854,-120.719164
7/25/2017,1,North Whiskey,BLM0217,7,USFWS-42,42,0,43.742217,-120.640177
7/25/2017,1,Kotzman North,EC0117,9,USFWS-07,7,0,43.78381,-120.884
7/25/2017,1,Kotzman South,EC0217,12,USFWS-10,10,0,43.76603,-120.8672
7/25/2017,1,Kotzman Butte,EC0317,7,USFWS-08,8,0,43.758008,-120.872021
7/25/2017,1,Pine Ridge,EC0417,20,USFWS-09,9,0,43.76024,-120.7265
7/25/2017,1,Pumice Springs,FS0117,18,USFWS-03,3,0,43.720077,-120.858688
7/25/2017,1,Sand Springs,FS0217,36,USFWS-04,4,0,43.767611,-120.847788
7/25/2017,1,Plot Butte ,FS0317,3,USFWS-05,5,0,43.6902,-120.82288
7/25/2017,1,Cook Well,FS0417,1,USFWS-06,6,0,43.55632,-120.76093
7/25/2017,1,Lone Pine,FWS0117,50,USFWS-01,1,0,43.770655,-120.747212
7/25/2017,1,Firestone Basin,FWS0217,10,USFWS-02,2,0,43.720132,-120.588437
8/1/2017,2,Jayne's Well,BLM0117,0,,,,43.614854,-120.719164
8/1/2017,2,North Whiskey,BLM0217,2,USFWS-20,20,0,43.742217,-120.640177
8/1/2017,2,Kotzman North,EC0117,2,USFWS-16,16,0,43.78381,-120.884
8/1/2017,2,Kotzman South,EC0217,3,USFWS-17,17,0,43.76603,-120.8672
8/1/2017,2,Kotzman Butte,EC0317,5,USFWS-18,18,0,43.758008,-120.872021
8/1/2017,2,Pine Ridge,EC0417,14,USFWS-19,19,0,43.76024,-120.7265
8/1/2017,2,Pumice Springs,FS0117,4,USFWS-13,13,0,43.720077,-120.858688
8/1/2017,2,Sand Springs,FS0217,11,USFWS-14,14,0,43.767611,-120.847788
8/1/2017,2,Plot Butte ,FS0317,2,USFWS-15,15,0,43.6902,-120.82288
8/1/2017,2,Cook Well,FS0417,0,,,,43.55632,-120.76093
8/1/2017,2,Lone Pine,FWS0117,12,USFWS-11,11,0,43.770655,-120.747212
8/1/2017,2,Firestone Basin,FWS0217,7,USFWS-12,12,0,43.720132,-120.588437
8/8/2017,3,Jayne's Well,BLM0117,0,,,,43.614854,-120.719164
